Name,Base,Copy Of,Flavor
acai fruit powder,acai,,
allspice,,,
almond,,,
almond pieces,almond,,
almonds,,almond,
aloe vera,,,
anise seeds,,,
apple,,,
apple bits,apple,,
apple pieces,apple,,
apple pomace,apple,,
apple slices,apple,,
apples,,apple,
apricot,,,
artificial apple flavouring,apple,,TRUE
artificial orange-mint flavouring,orange,,TRUE
artificial passion fruit flavouring,passion fruit,,TRUE
artificial wine flavouring,,,TRUE
ascorbic acid,,,
assam,,,
bao zhong oolong,,,
barberry,,,
basil,,,
beet powder,beetroot,,
beetroot,beetroot,,
beetroot bits,beetroot,,
beetroot pieces,beetroot,,
bergamont,,,
bergamot flavoring,bergamont,,TRUE
bergamot peel,bergamont,,
black currant,currants,,
black currant flavor,currants,,TRUE
black currants,,black currant,
black pepper,,,
black tea,,,
black tea with cinnamon chips,black tea,,
blackberry,,,
blackberry flavor,blackberry,,TRUE
blackberry leaves,,,
blackcurrant,,black currant,
blue cornflowers,cornflower,,
blue flavors,,,TRUE
blue lotus flower,lotus,,
blue mallow blossoms,mallow,,
blue mallow flower,mallow,,
blueberries,,blueberry,
blueberry,,,
brittle,,,
brittle pieces,brittle,,
calendula,,,
calendula petals,calendula,,
candied mango pieces,mango,,
candied papaya,papaya,,
candied papaya pieces,papaya,,
candied pineapple,pineapple,,
candied pineapple pieces,pineapple,,
candied strawberry,strawberry,,
cane sugar,sugar,,
caramel,,,
cardamom,,,
carob,carob,,
carob bean,carob,,
carrot,,,
carrot pieces,carrot,,
carrots,,carrot,
ceylon,,,
chai,,,
chamomile,,,
chamomile flowers,chamomile,,
cherry,,,
cherry leaf,,,
chili pepper,,,
chinese black tea,black tea,,
chocolate,,,
chocolate and hazelnut flavors,chocolate,,TRUE
chocolate chips,chocolate,,
chocolate flavouring,chocolate,,TRUE
cinnamon,,,
cinnamon bark,cinnamon,,
cinnamon chips,cinnamon,,
cinnamon spice,cinnamon,,
citric acid,,,
clove,,,
cloves,,clove,
cocoa beans,cocoa,,
cocoa husk,cocoa,,
cocoa nibs,cocoa,,
cocoa powder,cocoa,,
coconut,,,
coconut chips,coconut,,
coconut flakes,coconut,,
coconut sugar,coconut,,TRUE
coffee beans,,,
coriander,,,
coriander seeds,coriander,,
cornflower,,,
cornflower petals,cornflower,,
cornflowers,,cornflower,
cranberries,,cranberry,
cranberry,,,
cranberry slices,cranberry,,
cream,,,
currants,currants,,
dogwood fruit,,,
dried apple,apple,,
dried blueberries,blueberry,,
dried cherries,cherry,,
dried mango,mango,,
dried papaya,papaya,,
dried passion fruit,passion fruit,,
dried pineapple,pineapple,,
elderberries,,,
fennel,,,
fig,,,
flavor,flavoring,,TRUE
flavoring,,,TRUE
flavors,flavoring,,TRUE
free-dried blackcurants,blackcurant,,
freeze-dried acerola cherries,cherry,,
freeze-dried apples,apple,,
freeze-dried blackberries,blackberry,,
freeze-dried fig pieces,fig,,
freeze-dried strawberry,strawberry,,
freeze-dried strawberry and raspberry pieces,rasberry,,
frozen grapes,grape,,
ginger,,,
lilly blossoms,,,
ginseng,,,
globe amaranth,,,
goji berries,,,
gomphrena petals,,,
grape,,,
grapefruit,,,
grapes,,grape,
green and black blend,green tea,,
green rooibos,rooibos,,
green tea,,,
green tea sencha,green tea,,
hand-cut vanilla bean,vanilla bean,,
hazelnut,,,
hazelnut flavor,hazelnut,,TRUE
hibiscus,,,
hibiscus blossoms,hibiscus,,
hibiscus flowers,hibiscus,,
honey,,,
honeybush,rooibos,,
honeybush tea,rooibos,,
honeydew melon,,,
huang jin gui oolong from anxi in fujian province,oolon tea,,
hydrangea serrata leaves,,,
ice cream,,,
indian black assam tea,black tea,,
indian masala spice tea,chai,,
invert sugar,sugar,,
japanese white tea,white tea,,
jasmine,,,
jasmine flower,jasmine,,
jasmine pearls,jasmine,,
java,,,
juniper,,,
juniper berries,juniper,,
lavender,,,
lavender flowers,lavender,,
lavender leaves,lavender,,
lemon & lime flavoring,lemon,,TRUE
